date,sector,both,temp,change,temp_pct,change2006,color
2008,Basic and Fabricated Metal Products,14447,761,-8.4474017744,5.2675295909,-10.7769268775,blue
2008,Chemicals,26238,2384,-1.7119310732,9.0860583886,-2.5985596555,blue
2008,"Clothing, Footwear and Leather",1837,320,-12.189292543,17.4197060425,-28.7155607295,blue
2008,"Computer, Electronic and Optical Equipment",22787,1956,-4.9947884094,8.5838416641,-8.3202574935,blue
2008,"Construction, Energy, Water and Waste *",14434,362,0.7116941111,2.5079672994,7.724457049,orange
2008,Drink and Tobacco,6734,667,1.1111111111,9.904959905,-0.9705882353,blue
2008,Electrical Equipment,6776,477,-8.6915510039,7.0395513577,-13.1727319323,blue
2008,Food,42895,3644,-3.1846702478,8.4951626064,-4.3632390975,blue
2008,Machinery and Equipment,12013,592,-6.3240798503,4.9279946724,-9.0475469412,blue
2008,Medical and dental instruments and supplies,23223,2645,-2.3464110004,11.3895706842,2.7702792406,blue
2008,Miscellaneous Manufacturing,8225,731,-7.8741039427,8.8875379939,-10.6269694665,blue
2008,Non-Metallic Minerals,10427,499,-11.0931105048,4.7856526326,-6.935023206,blue
2008,Paper and Printing,7287,476,-5.7065217391,6.5321805956,-7.8877512325,blue
2008,Rubber and Plastics,8357,566,-4.4368210406,6.7727653464,-5.6559042673,blue
2008,Textiles,2189,299,-8.1795302013,13.6592051165,-6.890684815,blue
2008,Transport Equipment,6207,235,-3.1367041199,3.7860480103,-5.062710309,blue
2008,Wood and Wood Products,5879,337,-20.133134085,5.7322673924,-23.8865872605,blue
2008,"Agriculture, Fishing and Forestry",2894,595,-15.9698025552,20.5597788528,-19.6111111111,orange
2008,Mining and Quarrying,1896,169,-4.3390514632,8.9135021097,-6.8304668305,orange
2008,Business Services,19418,2723,6.13828915,14.0230713771,14.9266098485,red
2008,Computer consultancy activities,29704,2744,-3.7677778858,9.2378130891,-2.2926877405,green
2008,Computer facilities management activities,8584,580,-4.1215235117,6.7567567568,-15.1862464183,green
2008,Computer programming activities,22153,2776,4.107335871,12.5310341714,-0.0406100532,green
2008,Financial Services,21746,1340,5.4147074507,6.1620527913,22.9977375566,red
2008,Other Information and Communication,7162,1305,4.0837087633,18.2211672717,14.8308481642,green
2008,Other information technology and computer service activities,5348,664,9.2989985694,12.4158563949,57.1092831962,green
2008,Other Services,11882,2385,-5.7058963574,20.0723783875,-1.8908430353,red
2009,Basic and Fabricated Metal Products,11446,748,-20.7724787153,6.535034073,-29.310770751,blue
2009,Chemicals,24698,2352,-5.869349798,9.5230383027,-8.3153908976,blue
2009,"Clothing, Footwear and Leather",1757,393,-4.3549265106,22.3676721685,-31.8199456733,blue
2009,"Computer, Electronic and Optical Equipment",20091,1223,-11.8313073244,6.0873027724,-19.1671695836,blue
2009,"Construction, Energy, Water and Waste *",12424,449,-13.9254537897,3.6139729556,-7.2766624375,orange
2009,Drink and Tobacco,6756,922,0.3267003267,13.6471284784,-0.6470588235,blue
2009,Electrical Equipment,5757,416,-15.0383707202,7.2259857565,-26.2301383906,blue
2009,Food,40832,3756,-4.8094183471,9.1986677116,-8.9628110229,blue
2009,Machinery and Equipment,10216,776,-14.9587946391,7.5959279561,-22.6529376136,blue
2009,Medical and dental instruments and supplies,23432,2426,0.8999698575,10.3533629225,3.6951807762,blue
2009,Miscellaneous Manufacturing,7024,783,-14.6018237082,11.1474943052,-23.6770618277,blue
2009,Non-Metallic Minerals,7101,505,-31.8979572264,7.1116744121,-36.6208496965,blue
2009,Paper and Printing,6896,463,-5.3657197749,6.714037123,-12.8302363797,blue
2009,Rubber and Plastics,7217,607,-13.6412588249,8.4106969655,-18.5256265523,blue
2009,Textiles,1611,275,-26.4047510279,17.0701427685,-31.4759676733,blue
2009,Transport Equipment,4274,245,-31.1422587401,5.7323350491,-34.6283267054,blue
2009,Wood and Wood Products,4853,380,-17.4519476101,7.8302081187,-37.1698601761,blue
2009,"Agriculture, Fishing and Forestry",2522,353,-12.8541810643,13.9968279144,-29.9444444444,orange
2009,Mining and Quarrying,1779,231,-6.1708860759,12.9848229342,-12.5798525799,orange
2009,Business Services,18498,2891,-4.7378720775,15.628716618,9.4815340909,red
2009,Computer consultancy activities,25446,2331,-14.334769728,9.160575336,-16.2988059603,green
2009,Computer facilities management activities,8092,546,-5.7315936626,6.7474048443,-20.0474261437,green
2009,Computer programming activities,20970,2877,-5.340134519,13.7195994278,-5.3785759408,green
2009,Financial Services,20766,1307,-4.506575922,6.2939420206,17.4547511312,red
2009,Other Information and Communication,7302,1297,1.9547612399,17.7622569159,17.0755170755,green
2009,Other information technology and computer service activities,5422,611,1.3836948392,11.2689044633,59.2831962397,green
2009,Other Services,11474,2345,-3.4337653594,20.4375108942,-5.2596812815,red
2010,Basic and Fabricated Metal Products,10729,896,-6.2641970994,8.3511976885,-33.7388833992,blue
2010,Chemicals,24600,2703,-0.3967932626,10.987804878,-8.6791892494,blue
2010,"Clothing, Footwear and Leather",1650,339,-6.0899260102,20.5454545455,-35.9720605355,blue
2010,"Computer, Electronic and Optical Equipment",20338,2114,1.2294062018,10.3943357262,-18.1734057534,blue
2010,"Construction, Energy, Water and Waste *",11115,593,-10.5360592402,5.3351327036,-17.0460482126,orange
2010,Drink and Tobacco,6226,979,-7.8448786264,15.7243816254,-8.4411764706,blue
2010,Electrical Equipment,5445,634,-5.4194893174,11.6437098255,-30.2280881599,blue
2010,Food,41544,4289,1.7437304075,10.3239938379,-7.3753678766,blue
2010,Machinery and Equipment,10163,925,-0.5187940486,9.1016432156,-23.05420957,blue
2010,Medical and dental instruments and supplies,23125,2200,-1.3101741209,9.5135135135,2.3365933531,blue
2010,Miscellaneous Manufacturing,6607,810,-5.9367881549,12.2597245346,-28.2081929805,blue
2010,Non-Metallic Minerals,6387,720,-10.054921842,11.2728980742,-42.9935737237,blue
2010,Paper and Printing,6352,522,-7.8886310905,8.217884131,-19.7067374542,blue
2010,Rubber and Plastics,6943,546,-3.7965913815,7.8640357194,-21.6188755927,blue
2010,Textiles,1550,325,-3.7864680323,20.9677419355,-34.0706082518,blue
2010,Transport Equipment,4146,303,-2.9948525971,7.3082489146,-36.5861119608,blue
2010,Wood and Wood Products,4684,344,-3.4823820317,7.3441502989,-39.3578456758,blue
2010,"Agriculture, Fishing and Forestry",2429,327,-3.6875495638,13.462330177,-32.5277777778,orange
2010,Mining and Quarrying,1777,297,-0.1124227094,16.7135621835,-12.6781326781,orange
2010,Business Services,18576,3674,0.4216672073,19.778208441,9.9431818182,red
2010,Computer consultancy activities,26342,2570,3.5211821111,9.7562827424,-13.351534489,green
2010,Computer facilities management activities,8362,622,3.3366287692,7.4384118632,-17.3797055627,green
2010,Computer programming activities,21424,3004,2.1649976156,14.0216579537,-3.330024366,green
2010,Financial Services,20949,1540,0.8812481942,7.3511862141,18.4898190045,red
2010,Other Information and Communication,7433,1246,1.7940290331,16.7630835463,19.1758858426,green
2010,Other information technology and computer service activities,6674,1083,23.0911102914,16.2271501349,96.0634547591,green
2010,Other Services,11384,2312,-0.7843820812,20.309205903,-6.0028073652,red
2011,Basic and Fabricated Metal Products,10910,952,1.6870164973,8.725939505,-32.6210474308,blue
2011,Chemicals,24523,3023,-0.3130081301,12.3272030339,-8.9650308115,blue
2011,"Clothing, Footwear and Leather",1616,344,-2.0606060606,21.2871287129,-37.2914241366,blue
2011,"Computer, Electronic and Optical Equipment",20426,2308,0.4326875799,11.2993243905,-17.819352243,blue
2011,"Construction, Energy, Water and Waste *",10495,564,-5.5780476833,5.3739876131,-21.6732591984,orange
2011,Drink and Tobacco,5412,527,-13.074204947,9.7376201035,-20.4117647059,blue
2011,Electrical Equipment,5109,704,-6.1707988981,13.7796046193,-34.5335725269,blue
2011,Food,42132,4621,1.41536684,10.9679103769,-6.0643895478,blue
2011,Machinery and Equipment,10522,904,3.5324215291,8.5915225242,-20.3361599031,blue
2011,Medical and dental instruments and supplies,24391,2963,5.4745945946,12.1479234144,7.9391069611,blue
