date,sector,both,temp,change,temp_pct
2008,Other Services,11882,2385,-5.7058963574,20.0723783875
2009,Manufacturing & Other Industry,196385,16719,-10.7158282376,8.5133793314
2009,Basic and Fabricated Metal Products,11446,748,-20.7724787153,6.535034073
2009,Chemicals,24698,2352,-5.869349798,9.5230383027
2009,"Clothing, Footwear and Leather",1757,393,-4.3549265106,22.3676721685
2009,"Computer, Electronic and Optical Equipment",20091,1223,-11.8313073244,6.0873027724
2009,"Construction, Energy, Water and Waste *",12424,449,-13.9254537897,3.6139729556
2009,Drink and Tobacco,6756,922,0.3267003267,13.6471284784
2009,Electrical Equipment,5757,416,-15.0383707202,7.2259857565
2009,Food,40832,3756,-4.8094183471,9.1986677116
2009,Machinery and Equipment,10216,776,-14.9587946391,7.5959279561
2009,Medical and dental instruments and supplies,23432,2426,0.8999698575,10.3533629225
2009,Miscellaneous Manufacturing,7024,783,-14.6018237082,11.1474943052
2009,Non-Metallic Minerals,7101,505,-31.8979572264,7.1116744121
2009,Paper and Printing,6896,463,-5.3657197749,6.714037123
2009,Rubber and Plastics,7217,607,-13.6412588249,8.4106969655
2009,Textiles,1611,275,-26.4047510279,17.0701427685
2009,Transport Equipment,4274,245,-31.1422587401,5.7323350491
2009,Wood and Wood Products,4853,380,-17.4519476101,7.8302081187
2009,Primary Production,4301,584,-10.2087682672,13.5782376192
2009,"Agriculture, Fishing and Forestry",2522,353,-12.8541810643,13.9968279144
2009,Mining and Quarrying,1779,231,-6.1708860759,12.9848229342
2009,Services,117970,14205,-6.370786606,12.0411969145
2009,Business Services,18498,2891,-4.7378720775,15.628716618
2009,Computer consultancy activities,25446,2331,-14.334769728,9.160575336
2009,Computer facilities management activities,8092,546,-5.7315936626,6.7474048443
2009,Computer programming activities,20970,2877,-5.340134519,13.7195994278
2009,Financial Services,20766,1307,-4.506575922,6.2939420206
2009,Other Information and Communication,7302,1297,1.9547612399,17.7622569159
2009,Other information technology and computer service activities,5422,611,1.3836948392,11.2689044633
2009,Other Services,11474,2345,-3.4337653594,20.4375108942
2010,Manufacturing & Other Industry,191604,19242,-2.4345036535,10.0425878374
2010,Basic and Fabricated Metal Products,10729,896,-6.2641970994,8.3511976885
2010,Chemicals,24600,2703,-0.3967932626,10.987804878
2010,"Clothing, Footwear and Leather",1650,339,-6.0899260102,20.5454545455
2010,"Computer, Electronic and Optical Equipment",20338,2114,1.2294062018,10.3943357262
2010,"Construction, Energy, Water and Waste *",11115,593,-10.5360592402,5.3351327036
2010,Drink and Tobacco,6226,979,-7.8448786264,15.7243816254
2010,Electrical Equipment,5445,634,-5.4194893174,11.6437098255
2010,Food,41544,4289,1.7437304075,10.3239938379
2010,Machinery and Equipment,10163,925,-0.5187940486,9.1016432156
2010,Medical and dental instruments and supplies,23125,2200,-1.3101741209,9.5135135135
2010,Miscellaneous Manufacturing,6607,810,-5.9367881549,12.2597245346
2010,Non-Metallic Minerals,6387,720,-10.054921842,11.2728980742
2010,Paper and Printing,6352,522,-7.8886310905,8.217884131
2010,Rubber and Plastics,6943,546,-3.7965913815,7.8640357194
2010,Textiles,1550,325,-3.7864680323,20.9677419355
2010,Transport Equipment,4146,303,-2.9948525971,7.3082489146
2010,Wood and Wood Products,4684,344,-3.4823820317,7.3441502989
2010,Primary Production,4206,624,-2.2087886538,14.8359486448
2010,"Agriculture, Fishing and Forestry",2429,327,-3.6875495638,13.462330177
2010,Mining and Quarrying,1777,297,-0.1124227094,16.7135621835
2010,Services,121144,16051,2.6905145376,13.2495212309
2010,Business Services,18576,3674,0.4216672073,19.778208441
2010,Computer consultancy activities,26342,2570,3.5211821111,9.7562827424
2010,Computer facilities management activities,8362,622,3.3366287692,7.4384118632
2010,Computer programming activities,21424,3004,2.1649976156,14.0216579537
2010,Financial Services,20949,1540,0.8812481942,7.3511862141
2010,Other Information and Communication,7433,1246,1.7940290331,16.7630835463
2010,Other information technology and computer service activities,6674,1083,23.0911102914,16.2271501349
2010,Other Services,11384,2312,-0.7843820812,20.309205903
2011,Manufacturing & Other Industry,191480,20563,-0.0647168118,10.7389805724
2011,Basic and Fabricated Metal Products,10910,952,1.6870164973,8.725939505
2011,Chemicals,24523,3023,-0.3130081301,12.3272030339
2011,"Clothing, Footwear and Leather",1616,344,-2.0606060606,21.2871287129
2011,"Computer, Electronic and Optical Equipment",20426,2308,0.4326875799,11.2993243905
2011,"Construction, Energy, Water and Waste *",10495,564,-5.5780476833,5.3739876131
2011,Drink and Tobacco,5412,527,-13.074204947,9.7376201035
2011,Electrical Equipment,5109,704,-6.1707988981,13.7796046193
2011,Food,42132,4621,1.41536684,10.9679103769
2011,Machinery and Equipment,10522,904,3.5324215291,8.5915225242
2011,Medical and dental instruments and supplies,24391,2963,5.4745945946,12.1479234144
2011,Miscellaneous Manufacturing,6327,818,-4.2379294687,12.9287181919
2011,Non-Metallic Minerals,6337,745,-0.782840144,11.7563515859
2011,Paper and Printing,6097,551,-4.0144836272,9.0372314253
2011,Rubber and Plastics,6903,666,-0.5761198329,9.6479791395
2011,Textiles,1423,294,-8.1935483871,20.6605762474
2011,Transport Equipment,4367,248,5.3304389773,5.6789558049
2011,Wood and Wood Products,4490,331,-4.1417591802,7.3719376392
2011,Primary Production,4287,581,1.9258202568,13.5526008864
