band,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,0,0,0,0,0,0,0,0,0,0,0
1,2326,2845,2732,5560,6939,29789,36977,41004,43745,62614,86970
2,18373,22138,29095,38852,24021,38416,41557,29111,22960,24793,28499
3,37435,44700,41814,28044,10597,8594,4313,3033,2629,2777,3128
4,43393,37670,44113,36176,7135,5295,2287,1421,669,781,1246
5,37825,39070,38508,23000,3711,1737,863,775,578,404,687
6,15257,16521,14989,9352,973,519,516,798,678,848,484
7,9157,7972,7509,4052,235,284,197,49,52,114,57
8,0,0,0,0,0,0,0,0,0,0,0
